speed,dist,rcd___id
4,2,q6240mp7
4,10,2ma4ld0g
7,4,k43m4a1f
7,22,btwwiexx
8,16,cpe4z8v9
9,10,il94e6d2
10,18,lis5rt3p
10,26,v29unrd1
10,34,t1l1s12s
11,17,oip366xl
11,28,4p8bpc1o
12,14,g7lcamyc
12,20,103t8xwf
12,24,hrie005h
12,28,hqto8ik6
13,26,9g1jo8vw
13,34,z90jnrwy
13,34,46edx6u8
13,46,keugu02r
14,26,tnggvyff
14,36,y1cq5ap5
14,60,22pbw1ca
14,80,awt6tbvd
15,20,blcf3x0m
15,26,t1f0ubrf
15,54,vjy3wxg7
16,32,nkz2myop
16,40,rw0evokj
17,32,kd602usa
17,40,pkno2kk8
17,50,u3lffs8s
18,42,43cukkv0
18,56,o9zn149s
18,76,jjx7m6r5
18,84,07wtl350
19,36,2bfpbnpr
19,46,6wubzlqp
19,68,ygzuoe5r
20,32,wspky9zy
20,48,cne6i2nr
20,52,b9smbp08
20,56,9bofe66u
20,64,pipwdneu
22,66,64esu3gh
23,54,ipxol7jr
24,70,wggueps0
24,92,4kllg57l
24,93,ipt3p99f
24,120,obobmhdi
25,85,r35cmyq7
