speed,dist,rcd___id
4,2,u0fcycoo
4,10,tu0hp9zw
7,4,r0okyk53
7,22,8yygrp0g
8,16,vqxu68ad
9,10,dexkktda
10,18,tokgnu05
10,26,uedc1wsg
10,34,hbbc07fk
11,17,zrnuzqju
11,28,f8iauz5c
12,14,obergecb
12,20,54po8zur
12,24,rgo5phpf
12,28,fi1zpklc
13,26,ep7ht1h6
13,34,tdl0ysn5
13,34,uespzexz
13,46,heoen8ia
14,26,nhhtis6z
14,36,qysh15dc
14,60,i4gofh89
14,80,9e32q5hk
15,20,gib0us48
15,26,t0lmb0hk
15,54,porbhoni
16,32,w5erpsd1
16,40,za7t3ehh
17,32,11jaanhe
17,40,pe40pwh9
17,50,zy028ue3
18,42,j06it345
18,56,h8vh0h37
18,76,7ht9xdh0
18,84,i7kkamn1
19,36,tbqheoow
19,46,4ze3j48p
19,68,lo91j9b7
20,32,a7wnpr10
20,48,6sc0k0px
20,52,yl86fw23
20,56,c1rxk9v7
20,64,lpy1lxhz
22,66,artwml4q
23,54,xu7svvdx
24,70,vsxvh9s0
24,92,vzysgan2
24,93,ytdi2sg7
24,120,ul74zeff
25,85,ql2kbke8
